utf8_match_long 1 {'seconds': {'median_paired_ratio': 1.0028515611197613, 'bootstrap_95_interval': [0.8913540405454082, 1.0101968616745747], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0065573770491802, 'bootstrap_95_interval': [0.9623824451410659, 1.0524590163934426], 'signal': 'inconclusive'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 1.0024540934343482, 'bootstrap_95_interval': [0.9546700993423735, 1.0558608304763417], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0066445182724253, 'bootstrap_95_interval': [0.9901960784313726, 1.0232558139534884], 'signal': 'inconclusive'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 1.0076114790494786, 'bootstrap_95_interval': [0.9635494376115281, 1.054067316433244], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0064935064935066, 'bootstrap_95_interval': [0.9967320261437909, 1.0232558139534884], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 0.9635659680145329, 'bootstrap_95_interval': [0.5135125709180126, 1.080472393836544], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.007905138339921, 'bootstrap_95_interval': [0.9884615384615385, 1.0355731225296443], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 1.0467954222900744, 'bootstrap_95_interval': [1.0014781492351772, 1.2199952702409365], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0076923076923077, 'bootstrap_95_interval': [0.9884615384615385, 1.0274509803921568], 'signal': 'inconclusive'}}
long_1048576_file 0 {'seconds': {'median_paired_ratio': 0.07502356630526809, 'bootstrap_95_interval': [0.059182368466046895, 0.08499933191198727], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.6376651982378855, 'bootstrap_95_interval': [0.5926305015353122, 0.8646153846153846], 'signal': 'faster'}}
long_1048576_file 1 {'seconds': {'median_paired_ratio': 0.06740662602623529, 'bootstrap_95_interval': [0.05419120937263331, 0.08021148935840489], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.743298969072165, 'bootstrap_95_interval': [0.595679012345679, 0.798974358974359], 'signal': 'faster'}}
long_4194304_file 0 {'seconds': {'median_paired_ratio': 0.023304825553024284, 'bootstrap_95_interval': [0.02063085807502923, 0.03323254219829107], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9990305380513815, 'bootstrap_95_interval': [0.6605150214592275, 1.1074806534823731], 'signal': 'inconclusive'}}
long_4194304_file 1 {'seconds': {'median_paired_ratio': 0.021950778269989587, 'bootstrap_95_interval': [0.019716798023067222, 0.0251668295846236], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.8025650991061019, 'bootstrap_95_interval': [0.5976699029126213, 1.111254851228978], 'signal': 'inconclusive'}}
long_8388608_file 0 {'seconds': {'median_paired_ratio': 0.0134929734587969, 'bootstrap_95_interval': [0.011336764128320931, 0.01729127355378787], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.8681204569055037, 'bootstrap_95_interval': [0.7331949130547625, 1.130659767141009], 'signal': 'inconclusive'}}
long_8388608_file 1 {'seconds': {'median_paired_ratio': 0.013736722935331387, 'bootstrap_95_interval': [0.011877773539175013, 0.01649072146522066], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.8835350536652203, 'bootstrap_95_interval': [0.73227733056349, 1.1512981199641898], 'signal': 'inconclusive'}}
long_pipe 0 {'seconds': {'median_paired_ratio': 0.08149541649795929, 'bootstrap_95_interval': [0.07627137342687151, 0.10070770390188201], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.1108714408973253, 'bootstrap_95_interval': [0.8910505836575876, 1.32687338501292], 'signal': 'inconclusive'}}
