utf8_match_long 1 {'seconds': {'median_paired_ratio': 0.9791723050467288, 'bootstrap_95_interval': [0.9742173111776707, 1.0123019618672964], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9972770592239619, 'bootstrap_95_interval': [0.9847378898473789, 1.0315789473684212], 'signal': 'inconclusive'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 1.0245789213268097, 'bootstrap_95_interval': [1.014747197356097, 1.061495795801636], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0087424344317417, 'bootstrap_95_interval': [0.9861660079051383, 1.040673211781206], 'signal': 'inconclusive'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 1.0183123582605627, 'bootstrap_95_interval': [0.9920747065555133, 1.0374461066407035], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.019047619047619, 'bootstrap_95_interval': [1.0020449897750512, 1.026536312849162], 'signal': 'slower'}}
short_file 0 {'seconds': {'median_paired_ratio': 1.044015047163469, 'bootstrap_95_interval': [1.0269515716939988, 1.0752834743122188], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 0.9957007738607051, 'bootstrap_95_interval': [0.9794871794871794, 1.025], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 1.0545779688844428, 'bootstrap_95_interval': [1.0114648758351563, 1.0706663723812002], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 0.9991394148020654, 'bootstrap_95_interval': [0.975548060708263, 1.0165073848827106], 'signal': 'inconclusive'}}
long_1048576_file 0 {'seconds': {'median_paired_ratio': 0.06204568286997509, 'bootstrap_95_interval': [0.05971412276079415, 0.06346197868532175], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0058019063406547, 'bootstrap_95_interval': [0.9958915365653246, 1.0087390761548065], 'signal': 'inconclusive'}}
long_1048576_file 1 {'seconds': {'median_paired_ratio': 0.06257478025562543, 'bootstrap_95_interval': [0.061559723477350496, 0.06323622264770008], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.003717472118959, 'bootstrap_95_interval': [0.9950083194675541, 1.0127940569541891], 'signal': 'inconclusive'}}
long_4194304_file 0 {'seconds': {'median_paired_ratio': 0.019548166884278274, 'bootstrap_95_interval': [0.019417442877806387, 0.020043071743912243], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0012870012870012, 'bootstrap_95_interval': [0.9987226568737027, 1.003526206122776], 'signal': 'inconclusive'}}
long_4194304_file 1 {'seconds': {'median_paired_ratio': 0.019695906950457014, 'bootstrap_95_interval': [0.019286994127989985, 0.01993922742455284], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9992007672634271, 'bootstrap_95_interval': [0.9958677685950413, 1.001121794871795], 'signal': 'inconclusive'}}
long_8388608_file 0 {'seconds': {'median_paired_ratio': 0.011201056931920562, 'bootstrap_95_interval': [0.011131474346729644, 0.011314803150322022], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9990324566804468, 'bootstrap_95_interval': [0.9984195276143647, 1.0029887482419129], 'signal': 'inconclusive'}}
long_8388608_file 1 {'seconds': {'median_paired_ratio': 0.011216785756628581, 'bootstrap_95_interval': [0.010942061657822778, 0.011319873186201031], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9998235864867249, 'bootstrap_95_interval': [0.9980657640232108, 1.0028213718920824], 'signal': 'inconclusive'}}
long_pipe 0 {'seconds': {'median_paired_ratio': 0.026186661344539234, 'bootstrap_95_interval': [0.022693911071653933, 0.02939740045682713], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0011257639112254, 'bootstrap_95_interval': [0.9944062649832188, 1.0067350865939706], 'signal': 'inconclusive'}}
long_pipe 1 {'seconds': {'median_paired_ratio': 0.02366602619705553, 'bootstrap_95_interval': [0.022388542981542154, 0.028632526357062517], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0012793858947706, 'bootstrap_95_interval': [0.9969735584581076, 1.0094855305466237], 'signal': 'inconclusive'}}
long_getline 0 {'seconds': {'median_paired_ratio': 0.01761769690872603, 'bootstrap_95_interval': [0.01698375300954536, 0.01787040606489378], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9973231357552581, 'bootstrap_95_interval': [0.9948561630786816, 1.0007662835249043], 'signal': 'inconclusive'}}
long_getline 1 {'seconds': {'median_paired_ratio': 0.01754741394210686, 'bootstrap_95_interval': [0.017171953408058046, 0.017714107993681713], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.002676864244742, 'bootstrap_95_interval': [0.9998085024894676, 1.004799385678633], 'signal': 'inconclusive'}}
unterminated 0 {'seconds': {'median_paired_ratio': 0.01563302821657925, 'bootstrap_95_interval': [0.0152985457539683, 0.015803622690943236], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9998243302591129, 'bootstrap_95_interval': [0.9957879957879958, 1.0015832527047235], 'signal': 'inconclusive'}}
unterminated 1 {'seconds': {'median_paired_ratio': 0.015601620680217818, 'bootstrap_95_interval': [0.015161859387009143, 0.016075116424035755], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0005291471911104, 'bootstrap_95_interval': [0.9983308442414126, 1.004596481923451], 'signal': 'inconclusive'}}
csv_long 0 {'seconds': {'median_paired_ratio': 0.09503742446480916, 'bootstrap_95_interval': [0.09187405460502152, 0.0973338040043642], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0003753753753755, 'bootstrap_95_interval': [0.9929915160457395, 1.0070816250465897], 'signal': 'inconclusive'}}
csv_long 1 {'seconds': {'median_paired_ratio': 0.09392886084343302, 'bootstrap_95_interval': [0.09293715470981766, 0.09923059034378168], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0067694622038361, 'bootstrap_95_interval': [0.9959183673469387, 1.0219281663516069], 'signal': 'inconclusive'}}
paragraph_control 0 {'seconds': {'median_paired_ratio': 1.0094153359374372, 'bootstrap_95_interval': [0.9974346684676784, 1.0536489223279477], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0192450037009622, 'bootstrap_95_interval': [0.9876722262509064, 1.026657060518732], 'signal': 'inconclusive'}}
paragraph_control 1 {'seconds': {'median_paired_ratio': 1.01757094018815, 'bootstrap_95_interval': [0.9978898430330484, 1.0739703019189653], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0311572700296736, 'bootstrap_95_interval': [0.9743406985032074, 1.0419426048565121], 'signal': 'inconclusive'}}
regex_control 0 {'seconds': {'median_paired_ratio': 1.0199082984231025, 'bootstrap_95_interval': [1.0119379931343653, 1.0367598831278928], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0021141649048626, 'bootstrap_95_interval': [0.9789702683103698, 1.0167394468704511], 'signal': 'inconclusive'}}
regex_control 1 {'seconds': {'median_paired_ratio': 1.0038477941713313, 'bootstrap_95_interval': [0.9913696269061911, 1.0213058516649618], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9885958660014256, 'bootstrap_95_interval': [0.9854651162790697, 1.0226939970717424], 'signal': 'inconclusive'}}
volume_short_128m 0 {'seconds': {'median_paired_ratio': 1.0550965395006444, 'bootstrap_95_interval': [1.0492727081289166, 1.0798005353928706], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 0.9983007646559049, 'bootstrap_95_interval': [0.9578414839797639, 1.0229074889867842], 'signal': 'inconclusive'}}
volume_short_128m 1 {'seconds': {'median_paired_ratio': 1.0414493064149932, 'bootstrap_95_interval': [1.0301379956500836, 1.069712679692638], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.004314063848145, 'bootstrap_95_interval': [0.980672268907563, 1.0122591943957968], 'signal': 'inconclusive'}}
volume_64k_128m 0 {'seconds': {'median_paired_ratio': 0.557312749607728, 'bootstrap_95_interval': [0.5541927763809464, 0.5592883494563886], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9958847736625515, 'bootstrap_95_interval': [0.9838187702265372, 1.013136288998358], 'signal': 'inconclusive'}}
volume_64k_128m 1 {'seconds': {'median_paired_ratio': 0.55444474417898, 'bootstrap_95_interval': [0.5489780403781404, 0.5672387023075867], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0049875311720697, 'bootstrap_95_interval': [0.9870235198702352, 1.0165562913907285], 'signal': 'inconclusive'}}
csv_mixed 0 {'seconds': {'median_paired_ratio': 0.971854668270244, 'bootstrap_95_interval': [0.9611067425846745, 0.9816270891108564], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9991554054054054, 'bootstrap_95_interval': [0.9871023215821152, 1.0199306759098787], 'signal': 'inconclusive'}}
csv_mixed 1 {'seconds': {'median_paired_ratio': 0.9767797703132141, 'bootstrap_95_interval': [0.9594855968116862, 1.0262917345509621], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9965367965367965, 'bootstrap_95_interval': [0.9873096446700508, 1.0163230240549828], 'signal': 'inconclusive'}}
high_cardinality 0 {'seconds': {'median_paired_ratio': 1.0207692012442604, 'bootstrap_95_interval': [1.0142158468322924, 1.0528126914137388], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 0.9955085017645172, 'bootstrap_95_interval': [0.9919897468760013, 1.0051712992889463], 'signal': 'inconclusive'}}
high_cardinality 1 {'seconds': {'median_paired_ratio': 1.0135305098781118, 'bootstrap_95_interval': [0.9933761853905664, 1.0453333537997447], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0045292785506308, 'bootstrap_95_interval': [0.997131931166348, 1.005827128520557], 'signal': 'inconclusive'}}
output_format 0 {'seconds': {'median_paired_ratio': 0.9976450975216414, 'bootstrap_95_interval': [0.7822431741520888, 1.0603903744430647], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.015803336259877, 'bootstrap_95_interval': [1.0062166962699823, 1.0307557117750439], 'signal': 'slower'}}
output_format 1 {'seconds': {'median_paired_ratio': 1.0042514558427535, 'bootstrap_95_interval': [0.9588303624599515, 1.0420223700318776], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0087642418930762, 'bootstrap_95_interval': [0.9991095280498664, 1.014808362369338], 'signal': 'inconclusive'}}
