utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 0.9858943628085922, 'bootstrap_95_interval': [0.9630039138168355, 1.051422841588287], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0045714285714287, 'bootstrap_95_interval': [1.0, 1.0091954022988505], 'signal': 'inconclusive'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 0.9878826069671723, 'bootstrap_95_interval': [0.9449036704150465, 1.0393841417756315], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9931506849315068, 1.0057471264367817], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 0.9755780848443919, 'bootstrap_95_interval': [0.9269989799831228, 1.018330609305154], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9905149051490515, 1.0013679890560876], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 1.032368956116263, 'bootstrap_95_interval': [0.9499508677058639, 1.0851398057068218], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0082079343365253, 'bootstrap_95_interval': [0.9972714870395635, 1.0134952766531713], 'signal': 'inconclusive'}}
long_1048576_file 0 {'seconds': {'median_paired_ratio': 1.0235665024747158, 'bootstrap_95_interval': [0.930151150880937, 1.1507787266745284], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9965736661771905, 1.0], 'signal': 'inconclusive'}}
long_1048576_file 1 {'seconds': {'median_paired_ratio': 0.9704827028974291, 'bootstrap_95_interval': [0.9034738921519863, 1.076919839936394], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9990186457311089, 'bootstrap_95_interval': [0.9955990220048899, 1.0], 'signal': 'inconclusive'}}
long_4194304_file 0 {'seconds': {'median_paired_ratio': 1.0345888209003125, 'bootstrap_95_interval': [0.9985528873456658, 1.1337109074928433], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.000679925208227], 'signal': 'inconclusive'}}
long_4194304_file 1 {'seconds': {'median_paired_ratio': 0.9957700059798535, 'bootstrap_95_interval': [0.955414139296444, 1.0623650407559428], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989799387963277, 1.0], 'signal': 'inconclusive'}}
long_8388608_file 0 {'seconds': {'median_paired_ratio': 0.9086775530481166, 'bootstrap_95_interval': [0.8717447107564965, 0.999996809637477], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989098837209303, 1.0], 'signal': 'inconclusive'}}
long_8388608_file 1 {'seconds': {'median_paired_ratio': 0.9707573917825235, 'bootstrap_95_interval': [0.9516832700707796, 1.0142455201245515], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
