utf8_match_long 1 {'seconds': {'median_paired_ratio': 0.9936330889483306, 'bootstrap_95_interval': [0.8705409016917587, 1.142760015341067], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0011098779134295, 'bootstrap_95_interval': [1.0011098779134295, 1.0011098779134295], 'signal': 'slower'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 1.06664062102231, 'bootstrap_95_interval': [0.999175830419921, 1.172949798037078], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0068886337543055, 'bootstrap_95_interval': [1.0046189376443417, 1.0240549828178693], 'signal': 'slower'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 1.0617513401308507, 'bootstrap_95_interval': [0.9744896049026759, 1.186821631115995], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.010321100917431, 'bootstrap_95_interval': [0.9988532110091743, 1.024], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 1.0029638181361793, 'bootstrap_95_interval': [0.9296924614113061, 1.2558719635400568], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9973009446693657, 'bootstrap_95_interval': [0.9905405405405405, 1.002710027100271], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 1.0470989188862905, 'bootstrap_95_interval': [0.935697711515088, 1.545403833809413], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9918588873812755, 1.005449591280654], 'signal': 'inconclusive'}}
long_1048576_file 0 {'seconds': {'median_paired_ratio': 0.11079176966567267, 'bootstrap_95_interval': [0.08293005943695154, 0.13487207654861413], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9965736661771905, 'bootstrap_95_interval': [0.994140625, 1.0], 'signal': 'inconclusive'}}
long_1048576_file 1 {'seconds': {'median_paired_ratio': 0.11617118462776073, 'bootstrap_95_interval': [0.07720366402839456, 0.1451801250738123], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9995107632093934, 'bootstrap_95_interval': [0.9878699660359049, 1.0], 'signal': 'inconclusive'}}
long_4194304_file 0 {'seconds': {'median_paired_ratio': 0.042310452260477444, 'bootstrap_95_interval': [0.034199457048134645, 0.046088406710954884], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9988101308856026, 'bootstrap_95_interval': [0.9981314761338542, 1.00034007821799], 'signal': 'inconclusive'}}
long_4194304_file 1 {'seconds': {'median_paired_ratio': 0.03616351529609812, 'bootstrap_95_interval': [0.032863006508408565, 0.0416181124458559], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9984706881903144, 'bootstrap_95_interval': [0.9981314761338542, 0.9993199591975519], 'signal': 'faster'}}
long_8388608_file 0 {'seconds': {'median_paired_ratio': 0.02602450029224386, 'bootstrap_95_interval': [0.024610941165738056, 0.027179420824305658], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9993638098700355, 'bootstrap_95_interval': [0.9988191479698428, 0.999818148754319], 'signal': 'faster'}}
long_8388608_file 1 {'seconds': {'median_paired_ratio': 0.024497488356374608, 'bootstrap_95_interval': [0.022751658615461523, 0.028996233407717422], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9990006359589352, 'bootstrap_95_interval': [0.9989098837209303, 0.9993638098700355], 'signal': 'faster'}}
long_pipe 0 {'seconds': {'median_paired_ratio': 0.25310245578262686, 'bootstrap_95_interval': [0.21685129474274253, 0.3300494870630294], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0003397316120266, 'bootstrap_95_interval': [0.9981321107148922, 1.0018713848247702], 'signal': 'inconclusive'}}
long_pipe 1 {'seconds': {'median_paired_ratio': 0.25580444309721284, 'bootstrap_95_interval': [0.23614587112126043, 0.26902941669623903], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.999490575649516, 'bootstrap_95_interval': [0.998641073551894, 1.000339789330615], 'signal': 'inconclusive'}}
long_getline 0 {'seconds': {'median_paired_ratio': 0.034729497625084274, 'bootstrap_95_interval': [0.030682310435904105, 0.03783396697676934], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.998151191454396, 'bootstrap_95_interval': [0.9973305954825462, 0.9987661937075879], 'signal': 'faster'}}
long_getline 1 {'seconds': {'median_paired_ratio': 0.03369362117941825, 'bootstrap_95_interval': [0.030444149420024227, 0.03553851229144837], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.998355601233299, 'bootstrap_95_interval': [0.9975354282193469, 0.9997941539728283], 'signal': 'faster'}}
unterminated 0 {'seconds': {'median_paired_ratio': 0.04030483710036962, 'bootstrap_95_interval': [0.034361637188170875, 0.047260091290177685], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9993636942096173, 'bootstrap_95_interval': [0.9991820412614741, 1.0], 'signal': 'inconclusive'}}
unterminated 1 {'seconds': {'median_paired_ratio': 0.042162145338047685, 'bootstrap_95_interval': [0.037641336027784175, 0.04332145186853615], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9998181156784285, 'bootstrap_95_interval': [0.9993636942096173, 1.0001819174094961], 'signal': 'inconclusive'}}
csv_long 0 {'seconds': {'median_paired_ratio': 0.12897672958520717, 'bootstrap_95_interval': [0.10361214067604554, 0.14454620461656967], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9564032697547684, 'bootstrap_95_interval': [0.5160699755899105, 1.0493273542600896], 'signal': 'inconclusive'}}
csv_long 1 {'seconds': {'median_paired_ratio': 0.13276049759184624, 'bootstrap_95_interval': [0.11965497969319001, 0.13989114886203127], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9564032697547684, 'bootstrap_95_interval': [0.5291479820627802, 1.0960187353629978], 'signal': 'inconclusive'}}
paragraph_control 0 {'seconds': {'median_paired_ratio': 0.9972578780039081, 'bootstrap_95_interval': [0.9117697204593147, 1.0926593433898806], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0035128805620608, 'bootstrap_95_interval': [1.0035128805620608, 1.0035128805620608], 'signal': 'slower'}}
paragraph_control 1 {'seconds': {'median_paired_ratio': 0.9565965693667595, 'bootstrap_95_interval': [0.8955358141035017, 1.0998425509469165], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0035128805620608, 'bootstrap_95_interval': [1.0035128805620608, 1.005854800936768], 'signal': 'slower'}}
regex_control 0 {'seconds': {'median_paired_ratio': 1.0108242223290096, 'bootstrap_95_interval': [0.9300471123295544, 1.055236171235727], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0058616647127785, 'bootstrap_95_interval': [1.0058616647127785, 1.0058616647127785], 'signal': 'slower'}}
regex_control 1 {'seconds': {'median_paired_ratio': 1.0051458933383417, 'bootstrap_95_interval': [0.9515697791603169, 1.0366179414596377], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0058616647127785, 'bootstrap_95_interval': [1.0058479532163742, 1.0058616647127785], 'signal': 'slower'}}
volume_short_128m 0 {'seconds': {'median_paired_ratio': 0.9693472749601929, 'bootstrap_95_interval': [0.9438233422041508, 1.0788963910942255], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9973009446693657, 1.0027063599458728], 'signal': 'inconclusive'}}
volume_short_128m 1 {'seconds': {'median_paired_ratio': 1.005587159219293, 'bootstrap_95_interval': [0.9554213311156952, 1.2257754430497376], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9986486486486487, 'bootstrap_95_interval': [0.993234100135318, 1.0], 'signal': 'inconclusive'}}
volume_64k_128m 0 {'seconds': {'median_paired_ratio': 0.6449861833192444, 'bootstrap_95_interval': [0.509618946611564, 0.7483810715138143], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9927272727272727, 1.003627569528416], 'signal': 'inconclusive'}}
volume_64k_128m 1 {'seconds': {'median_paired_ratio': 0.6544020815989788, 'bootstrap_95_interval': [0.5829960945584116, 0.7805500566498882], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.992744860943168, 1.0073260073260073], 'signal': 'inconclusive'}}
csv_mixed 0 {'seconds': {'median_paired_ratio': 0.9582724743712929, 'bootstrap_95_interval': [0.9089361765893743, 1.038704019102566], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0013568521031209, 'bootstrap_95_interval': [0.9919354838709677, 1.0013568521031209], 'signal': 'inconclusive'}}
csv_mixed 1 {'seconds': {'median_paired_ratio': 0.9194973230085224, 'bootstrap_95_interval': [0.8850799536426037, 0.9683609363098722], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0013568521031209, 'bootstrap_95_interval': [0.9919354838709677, 1.0040705563093624], 'signal': 'inconclusive'}}
high_cardinality 0 {'seconds': {'median_paired_ratio': 0.9998472655754209, 'bootstrap_95_interval': [0.935301969697693, 1.0731150224367836], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9983096686950642, 1.001354096140826], 'signal': 'inconclusive'}}
high_cardinality 1 {'seconds': {'median_paired_ratio': 1.0077606180089191, 'bootstrap_95_interval': [0.9171428045774961, 1.0577831396406345], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9996614759647935, 'bootstrap_95_interval': [0.9989868287740629, 1.0020325203252032], 'signal': 'inconclusive'}}
output_format 0 {'seconds': {'median_paired_ratio': 1.0127513849772325, 'bootstrap_95_interval': [0.9958565773103567, 1.0930676274526103], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9973009446693657, 'bootstrap_95_interval': [0.9959404600811907, 0.9986486486486487], 'signal': 'faster'}}
output_format 1 {'seconds': {'median_paired_ratio': 1.0295353322850078, 'bootstrap_95_interval': [1.0064550767732936, 1.1144364192273035], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 0.9972972972972973, 'bootstrap_95_interval': [0.995945945945946, 0.9986468200270636], 'signal': 'faster'}}
