utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 0.994030771804584, 'bootstrap_95_interval': [0.9931580197059996, 0.9960829155897922], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.999168744804655, 1.0], 'signal': 'inconclusive'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 1.000081483693616, 'bootstrap_95_interval': [0.9948904827822449, 1.007234401706817], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9991666666666666, 1.0016652789342215], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 0.997210551275695, 'bootstrap_95_interval': [0.9940270190691193, 0.9994458804747142], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9968454258675079, 1.0], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 0.9977691371813537, 'bootstrap_95_interval': [0.9961450553901483, 0.9991708202086431], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978925184404637, 1.001054852320675], 'signal': 'inconclusive'}}
long_1048576_file 0 {'seconds': {'median_paired_ratio': 0.07431877884480337, 'bootstrap_95_interval': [0.07348679672629897, 0.07446034498195023], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9995450409463148, 'bootstrap_95_interval': [0.9995450409463148, 1.0009111617312072], 'signal': 'inconclusive'}}
long_1048576_file 1 {'seconds': {'median_paired_ratio': 0.07371297892851977, 'bootstrap_95_interval': [0.0732385086162526, 0.07435687259120377], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9995450409463148, 'bootstrap_95_interval': [0.9995448338643604, 1.0013673655423883], 'signal': 'inconclusive'}}
long_4194304_file 0 {'seconds': {'median_paired_ratio': 0.023956743449392373, 'bootstrap_95_interval': [0.023531512611991972, 0.024432567950903726], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9998343822457767, 1.0003313452617628], 'signal': 'inconclusive'}}
long_4194304_file 1 {'seconds': {'median_paired_ratio': 0.023915738004150935, 'bootstrap_95_interval': [0.023611481927354825, 0.024110929174155915], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9998343822457767, 'bootstrap_95_interval': [0.9991719112288837, 1.00049710024855], 'signal': 'inconclusive'}}
long_8388608_file 0 {'seconds': {'median_paired_ratio': 0.015100903951471692, 'bootstrap_95_interval': [0.014893959308482554, 0.015297332243578671], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9992829613695438, 1.0], 'signal': 'inconclusive'}}
long_8388608_file 1 {'seconds': {'median_paired_ratio': 0.015134074613611818, 'bootstrap_95_interval': [0.014649247275887262, 0.015373912969893863], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0000896298288071, 'bootstrap_95_interval': [0.999820740342386, 1.0001792757260668], 'signal': 'inconclusive'}}
long_pipe 0 {'seconds': {'median_paired_ratio': 0.026087199628376915, 'bootstrap_95_interval': [0.025879080186363625, 0.02649044394857762], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9998343822457767, 'bootstrap_95_interval': [0.9996687644915535, 1.0003315100281784], 'signal': 'inconclusive'}}
long_pipe 1 {'seconds': {'median_paired_ratio': 0.02600822347064043, 'bootstrap_95_interval': [0.02569805585600372, 0.026290987816329287], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9998343822457767, 'bootstrap_95_interval': [0.9991719112288837, 1.00049710024855], 'signal': 'inconclusive'}}
