utf8_match_long 1 {'seconds': {'median_paired_ratio': 0.8365891985084215, 'bootstrap_95_interval': [0.8058157511933352, 1.4426641030909475], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0029940119760479, 'bootstrap_95_interval': [0.9767441860465116, 1.0456026058631922], 'signal': 'inconclusive'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 1.0445243555920012, 'bootstrap_95_interval': [0.9791027686240737, 1.0618222543559492], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9935275080906149, 1.022950819672131], 'signal': 'inconclusive'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 1.0178573284009176, 'bootstrap_95_interval': [0.9742793808826773, 1.1542044627860222], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9478527607361963, 1.0064516129032257], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 0.9875278306850988, 'bootstrap_95_interval': [0.7921611656380477, 1.0297572010494762], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9809160305343512, 'bootstrap_95_interval': [0.9379562043795621, 1.0], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 1.0332677956121452, 'bootstrap_95_interval': [0.9307544672930211, 1.0798535860021319], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0194552529182879, 'bootstrap_95_interval': [1.0, 1.0856031128404668], 'signal': 'inconclusive'}}
long_1048576_file 0 {'seconds': {'median_paired_ratio': 0.7909691899008396, 'bootstrap_95_interval': [0.7271428910439542, 1.3298365711477467], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0051612903225806, 'bootstrap_95_interval': [0.748062015503876, 1.3454231433506045], 'signal': 'inconclusive'}}
long_1048576_file 1 {'seconds': {'median_paired_ratio': 0.9753157425629827, 'bootstrap_95_interval': [0.4608777289164135, 1.504181190401365], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9860759493670886, 'bootstrap_95_interval': [0.7573812580231065, 1.3622377622377622], 'signal': 'inconclusive'}}
long_4194304_file 0 {'seconds': {'median_paired_ratio': 0.8355176730983036, 'bootstrap_95_interval': [0.7175658470254581, 1.104730811662339], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.7985248447204969, 'bootstrap_95_interval': [0.6630762602326583, 1.2880133185349611], 'signal': 'inconclusive'}}
long_4194304_file 1 {'seconds': {'median_paired_ratio': 0.9938705047163648, 'bootstrap_95_interval': [0.9006243003274567, 1.1988850552223365], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.667953667953668, 1.3391812865497077], 'signal': 'inconclusive'}}
long_8388608_file 0 {'seconds': {'median_paired_ratio': 0.9776914872185012, 'bootstrap_95_interval': [0.8231972742885084, 1.0067502879194044], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.001038961038961, 'bootstrap_95_interval': [0.9940077546704265, 1.3575458392101551], 'signal': 'inconclusive'}}
long_8388608_file 1 {'seconds': {'median_paired_ratio': 0.9160942931237153, 'bootstrap_95_interval': [0.7977432331077764, 0.990612849858394], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.7309486780715396, 1.0002598077422706], 'signal': 'inconclusive'}}
