utf8_match_long 1 {'seconds': {'median_paired_ratio': 1.0022216033365885, 'bootstrap_95_interval': [0.961600173339698, 1.0372384087315794], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0006830601092895, 'bootstrap_95_interval': [0.9905850706119704, 1.024556616643929], 'signal': 'inconclusive'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 0.9861256673392839, 'bootstrap_95_interval': [0.9744737967473039, 1.0006750082986187], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9959100204498977, 'bootstrap_95_interval': [0.9837837837837838, 1.0103305785123966], 'signal': 'inconclusive'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 0.9915350510058811, 'bootstrap_95_interval': [0.9762280803208017, 0.9984459701202494], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.997979797979798, 'bootstrap_95_interval': [0.9843856076035302, 1.0081632653061225], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 0.9920865740127601, 'bootstrap_95_interval': [0.9798742676099469, 1.0098587420454985], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9829351535836177, 'bootstrap_95_interval': [0.9740802675585284, 1.0223944875107667], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 0.9843395390198291, 'bootstrap_95_interval': [0.9676988031199221, 0.9944246661488403], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0008382229673094, 'bootstrap_95_interval': [0.9880034275921166, 1.0392327811682651], 'signal': 'inconclusive'}}
long_1048576_file 0 {'seconds': {'median_paired_ratio': 0.9901682312969982, 'bootstrap_95_interval': [0.9718584942190985, 1.0390920743368104], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9959250203748982, 1.0120732722731058], 'signal': 'inconclusive'}}
long_1048576_file 1 {'seconds': {'median_paired_ratio': 0.9877996100096383, 'bootstrap_95_interval': [0.9820916814044344, 1.0051799714608562], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.00123507616303, 'bootstrap_95_interval': [0.9888934594816948, 1.0103777501037774], 'signal': 'inconclusive'}}
long_4194304_file 0 {'seconds': {'median_paired_ratio': 1.0027488967469222, 'bootstrap_95_interval': [0.9801637370829517, 1.0171456883088246], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0012872083668545, 'bootstrap_95_interval': [0.9984066284257489, 1.00688], 'signal': 'inconclusive'}}
long_4194304_file 1 {'seconds': {'median_paired_ratio': 0.9958676101766519, 'bootstrap_95_interval': [0.9907368605538782, 1.0262157508953442], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0011187470033562, 'bootstrap_95_interval': [0.9944249761070405, 1.0054697554697554], 'signal': 'inconclusive'}}
long_8388608_file 0 {'seconds': {'median_paired_ratio': 1.0039832383171434, 'bootstrap_95_interval': [0.9828353745505773, 1.0238842792681073], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9988570423773518, 'bootstrap_95_interval': [0.9975349942776652, 1.001143560872625], 'signal': 'inconclusive'}}
long_8388608_file 1 {'seconds': {'median_paired_ratio': 1.0084937827943392, 'bootstrap_95_interval': [0.9924915487767813, 1.0632949641025116], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9991196408134518, 'bootstrap_95_interval': [0.9971873077261141, 1.0016717993840738], 'signal': 'inconclusive'}}
long_pipe 0 {'seconds': {'median_paired_ratio': 1.002701595026502, 'bootstrap_95_interval': [0.9843420455889964, 1.015271607533726], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9991973029378712, 'bootstrap_95_interval': [0.9971218420211065, 1.0006410256410256], 'signal': 'inconclusive'}}
long_pipe 1 {'seconds': {'median_paired_ratio': 0.9964652306189964, 'bootstrap_95_interval': [0.9409230608985653, 1.063060427240483], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9977625059932875, 'bootstrap_95_interval': [0.9955185659411011, 1.0028776978417266], 'signal': 'inconclusive'}}
long_getline 0 {'seconds': {'median_paired_ratio': 0.9989890144759338, 'bootstrap_95_interval': [0.9454707341065947, 1.0260609858467415], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.998092695021934, 'bootstrap_95_interval': [0.9946503630110813, 1.005945531261987], 'signal': 'inconclusive'}}
